;Entidad Federativa;Sexo;Salario;Año;Trimestre
168;Puebla;Hombres;5420.96;2005;Trimestre III
169;Puebla;Mujeres;3595.58;2005;Trimestre III
170;Querétaro;Hombres;8040.19;2005;Trimestre III
171;Querétaro;Mujeres;5799.36;2005;Trimestre III
172;Quintana Roo;Hombres;10142.59;2005;Trimestre III
173;Quintana Roo;Mujeres;6936.19;2005;Trimestre III
174;San Luis Potosí;Hombres;6164.27;2005;Trimestre III
175;San Luis Potosí;Mujeres;5207.21;2005;Trimestre III
176;Sinaloa;Hombres;8270.67;2005;Trimestre III
177;Sinaloa;Mujeres;5893.02;2005;Trimestre III
178;Sonora;Hombres;9674.36;2005;Trimestre III
179;Sonora;Mujeres;6613.45;2005;Trimestre III
180;Tabasco;Hombres;6935.68;2005;Trimestre III
181;Tabasco;Mujeres;5830.48;2005;Trimestre III
182;Tamaulipas;Hombres;8892.48;2005;Trimestre III
183;Tamaulipas;Mujeres;6530.64;2005;Trimestre III
184;Tlaxcala;Hombres;5435.08;2005;Trimestre III
185;Tlaxcala;Mujeres;3874.03;2005;Trimestre III
186;Veracruz de Ignacio de la Llave;Hombres;5439.53;2005;Trimestre III
187;Veracruz de Ignacio de la Llave;Mujeres;4601.99;2005;Trimestre III
188;Yucatán;Hombres;6184.06;2005;Trimestre III
189;Yucatán;Mujeres;4415.4;2005;Trimestre III
190;Zacatecas;Hombres;5414.02;2005;Trimestre III
191;Zacatecas;Mujeres;4206.67;2005;Trimestre III
192;Aguascalientes;Hombres;8162.13;2005;Trimestre IV
193;Aguascalientes;Mujeres;5927.88;2005;Trimestre IV
194;Baja California;Hombres;11799.27;2005;Trimestre IV
195;Baja California;Mujeres;8970.43;2005;Trimestre IV
196;Baja California Sur;Hombres;11140.54;2005;Trimestre IV
197;Baja California Sur;Mujeres;8531.92;2005;Trimestre IV
198;Campeche;Hombres;7104.37;2005;Trimestre IV
199;Campeche;Mujeres;5464.54;2005;Trimestre IV
200;Coahuila de Zaragoza;Hombres;9292.99;2005;Trimestre IV
201;Coahuila de Zaragoza;Mujeres;6516.19;2005;Trimestre IV
202;Colima;Hombres;8322.5;2005;Trimestre IV
203;Colima;Mujeres;5596.84;2005;Trimestre IV
204;Chiapas;Hombres;3552.88;2005;Trimestre IV
205;Chiapas;Mujeres;3285.85;2005;Trimestre IV
206;Chihuahua;Hombres;9983.73;2005;Trimestre IV
207;Chihuahua;Mujeres;7439.46;2005;Trimestre IV
208;Ciudad de México;Hombres;10408.31;2005;Trimestre IV
209;Ciudad de México;Mujeres;7806.96;2005;Trimestre IV
210;Durango;Hombres;6384.45;2005;Trimestre IV
211;Durango;Mujeres;5589.99;2005;Trimestre IV
212;Guanajuato;Hombres;7011.5;2005;Trimestre IV
213;Guanajuato;Mujeres;4626.12;2005;Trimestre IV
214;Guerrero;Hombres;4202.86;2005;Trimestre IV
215;Guerrero;Mujeres;4249.6;2005;Trimestre IV
216;Hidalgo;Hombres;5617.03;2005;Trimestre IV
217;Hidalgo;Mujeres;3994.4;2005;Trimestre IV
218;Jalisco;Hombres;8150.04;2005;Trimestre IV
219;Jalisco;Mujeres;5055.21;2005;Trimestre IV
220;México;Hombres;7423.03;2005;Trimestre IV
221;México;Mujeres;5435.58;2005;Trimestre IV
222;Michoacán de Ocampo;Hombres;6135.84;2005;Trimestre IV
223;Michoacán de Ocampo;Mujeres;4136.08;2005;Trimestre IV
224;Morelos;Hombres;7180.54;2005;Trimestre IV
225;Morelos;Mujeres;4698.34;2005;Trimestre IV
226;Nayarit;Hombres;6794.31;2005;Trimestre IV
227;Nayarit;Mujeres;4868.35;2005;Trimestre IV
228;Nuevo León;Hombres;11115.56;2005;Trimestre IV
229;Nuevo León;Mujeres;7433.69;2005;Trimestre IV
230;Oaxaca;Hombres;4337.81;2005;Trimestre IV
231;Oaxaca;Mujeres;3257.33;2005;Trimestre IV
232;Puebla;Hombres;5543.23;2005;Trimestre IV
233;Puebla;Mujeres;3817.4;2005;Trimestre IV
234;Querétaro;Hombres;7905.44;2005;Trimestre IV
235;Querétaro;Mujeres;5789.51;2005;Trimestre IV
236;Quintana Roo;Hombres;10494.03;2005;Trimestre IV
237;Quintana Roo;Mujeres;7053.97;2005;Trimestre IV
238;San Luis Potosí;Hombres;6696.96;2005;Trimestre IV
239;San Luis Potosí;Mujeres;5275.31;2005;Trimestre IV
240;Sinaloa;Hombres;8741.28;2005;Trimestre IV
241;Sinaloa;Mujeres;5666.48;2005;Trimestre IV
242;Sonora;Hombres;9553.55;2005;Trimestre IV
243;Sonora;Mujeres;7143.53;2005;Trimestre IV
244;Tabasco;Hombres;7015.17;2005;Trimestre IV
245;Tabasco;Mujeres;6378.9;2005;Trimestre IV
246;Tamaulipas;Hombres;9334.29;2005;Trimestre IV
